# r 	 gobs 	 nucpdfcalc 	 mpdfcalc
1.500000000000000000e+00 2.759077848337128658e-01 -1.879081700365684005e-02 2.637950864954183849e-01
1.510000000000000009e+00 2.748129438262366664e-01 -1.895292438265022694e-02 2.548075588093651200e-01
1.520000000000000018e+00 2.671167530552508440e-01 -1.922950812796991871e-02 2.461130384803429105e-01
1.530000000000000027e+00 2.537750156246846300e-01 -1.961370193191624978e-02 2.377042016930616675e-01
1.540000000000000036e+00 2.360895689289821131e-01 -2.009136586466056529e-02 2.295738558047934197e-01
1.550000000000000044e+00 2.156120238493004215e-01 -2.064186771437867551e-02 2.217149310809147511e-01
1.560000000000000053e+00 1.940336592228992796e-01 -2.123931036359621993e-02 2.141204732987413428e-01
1.570000000000000062e+00 1.730682757417069395e-01 -2.185413368115360355e-02 2.067836373298869712e-01
1.580000000000000071e+00 1.543351921286393591e-01 -2.245499316054394567e-02 1.996976809288579791e-01
1.590000000000000080e+00 1.392495224357208072e-01 -2.301079716331119740e-02 1.928559590675752999e-01
1.600000000000000089e+00 1.289264101486805869e-01 -2.349277159765747469e-02 1.862519188480813159e-01
1.610000000000000098e+00 1.241050402213468434e-01 -2.387641619368890966e-02 1.798790950165175540e-01
1.620000000000000107e+00 1.250970545372656340e-01 -2.414322071700383820e-02 1.737311060907671123e-01
1.630000000000000115e+00 1.317625296095359111e-01 -2.428202241036966913e-02 1.678016510451862120e-01
1.640000000000000124e+00 1.435150232059109743e-01 -2.428990701012823106e-02 1.620845066260185041e-01
1.650000000000000133e+00 1.593554553277807262e-01 -2.417258364381691393e-02 1.565735255344654631e-01
1.660000000000000142e+00 1.779328600105961611e-01 -2.394419709236247917e-02 1.512626350608158032e-01
1.669999999999999929e+00 1.976284284689050208e-01 -2.362657722791824955e-02 1.461458360978417914e-01
1.679999999999999938e+00 2.166578553896577330e-01 -2.324796259766787054e-02 1.412172028332872031e-01
1.689999999999999947e+00 2.331858809572783797e-01 -2.284127068846002195e-02 1.364708829544837854e-01
1.699999999999999956e+00 2.454461570784027824e-01 -2.244201900038005071e-02 1.319010983271486637e-01
1.709999999999999964e+00 2.518592024210323799e-01 -2.208602650942363688e-02 1.275021461073239937e-01
1.719999999999999973e+00 2.511412693982336131e-01 -2.180704259373078546e-02 1.232684002423089786e-01
1.729999999999999982e+00 2.423974248839188550e-01 -2.163445869865747440e-02 1.191943133139197336e-01
1.739999999999999991e+00 2.251930188017241263e-01 -2.159125616668554348e-02 1.152744186755167571e-01
1.750000000000000000e+00 1.995989316153471971e-01 -2.169233164480834086e-02 1.115033330418342822e-01
1.760000000000000009e+00 1.662074840948038201e-01 -2.194331985520930894e-02 1.078757591776401958e-01
1.770000000000000018e+00 1.261175754952951478e-01 -2.234000347025866251e-02 1.043864875827882066e-01
1.780000000000000027e+00 8.088939331202746330e-02 -2.286836314679362159e-02 1.010303996672520799e-01
1.790000000000000036e+00 3.247080730028514828e-02 -2.350527970324275961e-02 9.780247142594208909e-02
1.800000000000000044e+00 -1.690077908775199783e-02 -2.421985756495849407e-02 9.469777580552160567e-02
1.810000000000000053e+00 -6.481589085464528610e-02 -2.497529673745796375e-02 9.171148550055407966e-02
1.820000000000000062e+00 -1.088233610651056504e-01 -2.573120247657462167e-02 8.883887565410103493e-02
1.830000000000000071e+00 -1.465664211540288753e-01 -2.644619011193941049e-02 8.607532642125176325e-02
1.840000000000000080e+00 -1.759168887292405503e-01 -2.708061939469703916e-02 8.341632535692952710e-02
1.850000000000000089e+00 -1.950998621579685122e-01 -2.759928002028756017e-02 8.085746959243414467e-02
1.860000000000000098e+00 -2.028017831334104071e-01 -2.797384872358169017e-02 7.839446772880331871e-02
1.870000000000000107e+00 -1.982555858582926989e-01 -2.818494893199223472e-02 7.602314148198488497e-02
1.880000000000000115e+00 -1.812978675737821621e-01 -2.822366599885747784e-02 7.373942713478484623e-02
1.890000000000000124e+00 -1.523945226724090496e-01 -2.809240336785690656e-02 7.153937662634576866e-02
1.900000000000000133e+00 -1.126329977849934577e-01 -2.780500577591059341e-02 6.941915821853271440e-02
1.910000000000000142e+00 -6.368115244232974703e-02 -2.738612231984469125e-02 6.737505683654687605e-02
1.919999999999999929e+00 -7.714547202592645335e-03 -2.686983196634915028e-02 6.540347407871519025e-02
1.929999999999999938e+00 5.268427411182725895e-02 -2.629760367240715352e-02 6.350092786519515031e-02
1.939999999999999947e+00 1.146493866730082245e-01 -2.571570942583647351e-02 6.166405172445064281e-02
1.949999999999999956e+00 1.751715720804420673e-01 -2.517224807144682192e-02 5.988959372011626314e-02
1.959999999999999964e+00 2.312475618521937226e-01 -2.471396796327623990e-02 5.817441502448035540e-02
1.969999999999999973e+00 2.800305779970695408e-01 -2.438309502301466009e-02 5.651548814824766676e-02
1.979999999999999982e+00 3.189742111828989812e-01 -2.421437813763513067e-02 5.490989482333046012e-02
1.989999999999999991e+00 3.459620112955077431e-01 -2.423255526851446351e-02 5.335482328228745297e-02
2.000000000000000000e+00 3.594159154501187503e-01 -2.445042133889834338e-02 5.184756607210212753e-02
2.010000000000000231e+00 3.583777628615824051e-01 -2.486764399588681229e-02 5.038551719352864916e-02
2.020000000000000018e+00 3.425595818027002415e-01 -2.547042765291542693e-02 4.896616835568537440e-02
2.030000000000000249e+00 3.123600014721493734e-01 -2.623207251868725151e-02 4.758710569271679819e-02
2.040000000000000036e+00 2.688459486664090403e-01 -2.711441692728936564e-02 4.624600610076452789e-02
2.049999999999999822e+00 2.137006360538136751e-01 -2.807009192980075216e-02 4.494063340488514691e-02
2.060000000000000053e+00 1.491406341820944725e-01 -2.904546069495843666e-02 4.366883438561781905e-02
2.069999999999999840e+00 7.780644564064649604e-02 -2.998406562650809265e-02 4.242853469571745972e-02
2.080000000000000071e+00 2.632378929553723379e-03 -3.083036674077901593e-02 4.121773469806137846e-02
2.089999999999999858e+00 -7.329742232857476558e-02 -3.153352869473056291e-02 4.003450524804280652e-02
2.100000000000000089e+00 -1.468992577814747236e-01 -3.205100306784666037e-02 3.887698345317551485e-02
2.109999999999999876e+00 -2.152386489108668588e-01 -3.235165829063678389e-02 3.774336848306565628e-02
2.120000000000000107e+00 -2.756699623363186302e-01 -3.241823213158605971e-02 3.663191743088933805e-02
2.129999999999999893e+00 -3.259597846896509776e-01 -3.224891995554175078e-02 3.554094120480710828e-02
2.140000000000000124e+00 -3.643878936782820599e-01 -3.185796402621784290e-02 3.446880052084523582e-02
2.149999999999999911e+00 -3.898209280744258654e-01 -3.127517194122993865e-02 3.341390204058684865e-02
2.160000000000000142e+00 -4.017553654331929569e-01 -3.054436204210480080e-02 3.237469466321758749e-02
