# OrdScale, Damp Rate: 0.0239638044938 0.116555513302
#  r 	 Gdiff 	 mPDF_calc 	 TotalDiff
1.790000000000000036e+00 -2.637505083643461035e-01 -4.184352644476974081e-03 -2.595661557198691294e-01
1.800000000000000044e+00 -3.020433281226271305e-01 -5.204011434518929224e-03 -2.968393166881082013e-01
1.810000000000000053e+00 -3.259924633611763767e-01 -6.278183265111536571e-03 -3.197142800960648401e-01
1.820000000000000062e+00 -3.341707285920731962e-01 -7.408254066759656364e-03 -3.267624745253135399e-01
1.830000000000000071e+00 -3.263011805919351360e-01 -8.595590186506629760e-03 -3.177055904054285063e-01
1.840000000000000080e+00 -3.030523033434837643e-01 -9.841535117609101491e-03 -2.932107682258746628e-01
1.850000000000000089e+00 -2.663036479608589246e-01 -1.114740614462017554e-02 -2.551562418162387491e-01
1.860000000000000098e+00 -2.188133921378270230e-01 -1.251449090919395934e-02 -2.062989012286330637e-01
1.870000000000000107e+00 -1.641091122870887986e-01 -1.394404390239262215e-02 -1.501650683846961765e-01
1.880000000000000115e+00 -1.063116275458613202e-01 -1.543728288974582918e-02 -9.087434465611549106e-02
1.890000000000000124e+00 -4.969845030055974888e-02 -1.699538527577712510e-02 -3.270306502478262378e-02
1.900000000000000133e+00 1.402339111556294426e-03 -1.861948441517254776e-02 2.002182352672884219e-02
1.910000000000000142e+00 4.306542371497990018e-02 -2.031066587822026592e-02 6.337608959320016611e-02
1.919999999999999929e+00 7.193774495529492441e-02 -2.206996367859483110e-02 9.400770863388975551e-02
1.930000000000000160e+00 8.556727337406400125e-02 -2.389835647199203827e-02 1.094656298460560395e-01
1.939999999999999947e+00 8.250089463703869086e-02 -2.579676373454418969e-02 1.082976583715828806e-01
1.949999999999999956e+00 6.241011625809189667e-02 -2.776604193034579171e-02 9.017615818843768838e-02
1.959999999999999964e+00 2.621371448409437477e-02 -2.980698067780898630e-02 5.602069516190336107e-02
1.969999999999999973e+00 -2.412229794476417055e-02 -3.192029892493496862e-02 7.798000980170798069e-03
1.979999999999999982e+00 -8.552565843585036021e-02 -3.410664114393208157e-02 -5.141901729191827863e-02
1.989999999999999991e+00 -1.541874176531727869e-01 -3.636657355593203578e-02 -1.178208440972407511e-01
2.000000000000000000e+00 -2.256784670416545069e-01 -3.870058039684939888e-02 -1.869778866448051080e-01
2.010000000000000231e+00 -2.953042355069541713e-01 -4.110906023569510515e-02 -2.541951752712590662e-01
2.020000000000000018e+00 -3.583541188112087106e-01 -4.359232235688881296e-02 -3.147617964543198976e-01
2.030000000000000249e+00 -4.104104223676992014e-01 -4.615058321831722044e-02 -3.642598391493819809e-01
